,ACCLASS,AG_DRIV,ALCOHOL,AUTOMOBILE,CYCLIST,DATE,DISABILITY,EMERG_VEH,HOOD_ID,HOUR,INITDIR,INVAGE,LIGHT,LOCCOORD,MANOEUVER,MOTORCYCLE,PASSENGER,PEDESTRIAN,RDSFCOND,REDLIGHT,ROAD_CLASS,SPEEDING,TRAFFCTL,TRSN_CITY_VEH,TRUCK,VISIBILITY
2,1,1,0,1,0,3,0,0,131,9,East,45 to 49,Daylight,Intersection,Turning Right,1,0,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
4,1,0,1,1,0,3,0,0,138,2,West,25 to 29,Dark,Mid-Block,Going Ahead,0,0,1,Dry,0,Major Arterial,0,No Control,0,0,Clear
7,0,1,1,1,0,3,0,0,81,19,East,30 to 34,Dark,Intersection,Turning Left,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
9,1,0,0,1,0,3,0,0,6,15,East,40 to 44,Daylight,Intersection,Going Ahead,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
14,0,1,0,1,0,3,0,0,116,9,East,25 to 29,Daylight,Intersection,Going Ahead,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
15,0,1,0,1,0,3,0,0,116,9,East,65 to 69,Daylight,Intersection,Turning Left,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
17,0,1,0,1,0,3,0,0,116,9,East,35 to 39,Daylight,Intersection,Stopped,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
19,0,1,0,1,0,3,0,0,116,9,North,25 to 29,Daylight,Intersection,Going Ahead,0,1,0,Dry,1,Major Arterial,0,Passive Control,0,0,Clear
20,0,1,0,1,0,3,0,0,73,17,West,25 to 29,Daylight,Intersection,Going Ahead,0,0,1,Dry,0,Major Arterial,0,Passive Control,0,0,Clear
22,0,1,0,1,0,3,0,0,93,6,South,40 to 44,Daylight,Intersection,Going Ahead,0,0,1,Dry,0,Collector,0,Passive Control,0,0,Clear
24,0,0,0,1,0,3,0,0,95,15,West,40 to 44,Daylight,Intersection,Going Ahead,0,0,1,Dry,0,Major Arterial,0,No Control,0,0,Clear
