,ACCLASS,AG_DRIV,ALCOHOL,AUTOMOBILE,CYCLIST,DATE,DISABILITY,EMERG_VEH,HOOD_ID,HOUR,INITDIR,INVAGE,LIGHT,LOCCOORD,MANOEUVER,MOTORCYCLE,PASSENGER,PEDESTRIAN,RDSFCOND,REDLIGHT,ROAD_CLASS,SPEEDING,TRAFFCTL,TRSN_CITY_VEH,TRUCK,VISIBILITY
2,1,1,0,1,0,3,0,0,131,9,0,7,4,3,14,1,0,0,0,1,4,0,2,0,0,0
4,1,0,1,1,0,3,0,0,138,2,3,3,0,4,2,0,0,1,0,0,4,0,1,0,0,0
7,0,1,1,1,0,3,0,0,81,19,0,4,0,3,13,0,0,1,0,0,4,0,2,0,0,0
9,1,0,0,1,0,3,0,0,6,15,0,6,4,3,2,0,0,1,0,0,4,0,2,0,0,0
14,0,1,0,1,0,3,0,0,116,9,0,3,4,3,2,0,1,0,0,1,4,0,2,0,0,0
15,0,1,0,1,0,3,0,0,116,9,0,11,4,3,13,0,1,0,0,1,4,0,2,0,0,0
17,0,1,0,1,0,3,0,0,116,9,0,5,4,3,12,0,1,0,0,1,4,0,2,0,0,0
19,0,1,0,1,0,3,0,0,116,9,1,3,4,3,2,0,1,0,0,1,4,0,2,0,0,0
20,0,1,0,1,0,3,0,0,73,17,3,3,4,3,2,0,0,1,0,0,4,0,2,0,0,0
22,0,1,0,1,0,3,0,0,93,6,2,6,4,3,2,0,0,1,0,0,0,0,2,0,0,0
24,0,0,0,1,0,3,0,0,95,15,3,6,4,3,2,0,0,1,0,0,4,0,1,0,0,0
26,0,1,0,1,0,3,0,0,51,3,3,3,0,3,2,0,1,0,0,0,5,0,2,0,0,0
31,0,1,0,1,0,3,0,0,51,3,1,1,0,3,2,0,1,0,0,0,5,0,2,0,0,0
32,0,1,1,1,0,3,0,0,27,21,3,3,0,4,2,0,0,0,0,0,4,1,1,0,0,0
33,0,1,1,1,0,3,0,0,27,21,0,2,0,4,3,0,0,0,0,0,4,1,1,0,0,0
35,0,1,0,1,0,3,0,0,91,2,3,3,0,3,2,0,1,0,0,0,4,1,1,0,0,0
